zoneId,branchId,zoneName,coordinateRange,coverageArea
Z001,B001,朝阳北部区,"116.43,39.95,116.5,40.02",朝阳区北部（望京、太阳宫）
Z002,B001,朝阳南部区,"116.43,39.88,116.5,39.95",朝阳区南部（国贸、CBD）
Z003,B002,浦东北部区,"121.5,31.26,121.6,31.36",浦东新区北部（张江、金桥）
Z004,B002,浦东南部区,"121.5,31.18,121.6,31.26",浦东新区南部（世纪公园、陆家嘴）
Z005,B003,天河中心区,"113.32,23.12,113.4,23.2",天河区中心（天河城、体育西）
Z006,B003,天河东部区,"113.36,23.1,113.45,23.18",天河区东部（车陂、员村）
Z007,B004,南山科技园区,"113.93,22.53,114,22.6",南山区（科技园、深大）
Z008,B004,南山沿海区,"113.9,22.48,113.97,22.55",南山区（蛇口、海上世界）
Z009,B005,西湖景区,"120.12,30.23,120.18,30.28",西湖区（西湖周边）
Z010,B005,西湖文教区,"120.15,30.27,120.22,30.32",西湖区（文三路、黄龙）
Z011,B006,玄武中心区,"118.78,32.04,118.85,32.1",玄武区（新街口、湖南路）
Z012,B007,武侯商圈区,"104.03,30.63,104.1,30.7",武侯区（磨子桥、科华路）
Z013,B008,武昌中心区,"114.28,30.53,114.36,30.6",武昌区（中南路、街道口）
Z014,B009,思明商业区,"118.06,24.43,118.13,24.5",思明区（中山路、鹭江道）
Z015,B010,市南核心区,"120.36,36.05,120.43,36.12",市南区（五四广场、香港中路）
